                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.58479,                0.33415,                0.83674,                0.85281,                0.78599,                0.82885,                0.65509,                0.79616,                0.52144,                 0.8972,             0.00042925,             0.00042925,             0.00042925
                     77,                0.58052,                0.33085,                 0.8351,                0.83403,                 0.7703,                0.81609,                0.64002,                0.84302,                0.53503,                0.91424,             0.00041275,             0.00041275,             0.00041275
                     78,                0.58962,                0.33331,                0.83918,                0.79513,                0.75504,                0.82405,                0.63531,                0.84066,                0.57535,                0.92593,             0.00039625,             0.00039625,             0.00039625
                     79,                0.58521,                0.33489,                0.83658,                0.78812,                0.76922,                0.80829,                0.65539,                0.71053,                0.53977,                0.87477,             0.00037974,             0.00037974,             0.00037974
                     80,                0.57357,                0.32931,                0.83865,                0.80757,                0.77823,                0.82896,                0.67262,                0.72794,                0.55238,                0.87985,             0.00036324,             0.00036324,             0.00036324
                     81,                0.57359,                0.32756,                0.83948,                0.83839,                 0.7599,                0.80935,                0.64352,                0.78111,                 0.5593,                0.89682,             0.00034674,             0.00034674,             0.00034674
                     82,                0.56338,                0.32128,                0.83635,                0.85869,                0.73507,                0.80757,                0.63997,                0.78846,                0.56212,                0.89351,             0.00033023,             0.00033023,             0.00033023
                     83,                0.57055,                0.32318,                0.83521,                0.81272,                0.78563,                0.81137,                0.63381,                0.81614,                0.55771,                0.90886,             0.00031373,             0.00031373,             0.00031373
                     84,                0.56645,                0.32211,                0.83281,                0.89511,                0.78646,                0.84661,                0.68567,                0.72862,                0.50065,                0.88528,             0.00029723,             0.00029723,             0.00029723
                     85,                 0.5707,                0.32026,                 0.8348,                0.82894,                0.79329,                0.84005,                0.67393,                0.73406,                0.53006,                 0.8913,             0.00028072,             0.00028072,             0.00028072
                     86,                0.55921,                0.32005,                0.83273,                0.87478,                0.77761,                0.84119,                0.66861,                0.74907,                0.51694,                0.88569,             0.00026422,             0.00026422,             0.00026422
                     87,                0.55625,                0.31583,                0.82945,                0.87196,                0.78331,                0.84041,                0.67033,                0.76017,                0.52545,                0.89031,             0.00024772,             0.00024772,             0.00024772
                     88,                0.55389,                0.31337,                0.83133,                0.80403,                0.80588,                0.84083,                0.66752,                 0.7832,                0.51799,                0.90062,             0.00023121,             0.00023121,             0.00023121
                     89,                 0.5467,                0.31322,                0.83139,                0.85382,                0.80501,                0.84732,                0.67184,                0.77976,                 0.5042,                0.89706,             0.00021471,             0.00021471,             0.00021471
                     90,                0.54869,                0.31188,                0.82913,                0.85234,                0.79363,                0.83707,                0.64643,                0.82979,                0.52601,                0.90953,             0.00019821,             0.00019821,             0.00019821
                     91,                0.48861,                0.28629,                0.81848,                0.81236,                0.79287,                0.83191,                0.64429,                0.82577,                0.54746,                0.91163,              0.0001817,              0.0001817,              0.0001817
                     92,                 0.4798,                 0.2788,                0.81583,                0.84733,                0.79727,                0.83332,                0.65215,                0.82443,                0.53351,                0.90788,              0.0001652,              0.0001652,              0.0001652
                     93,                0.46951,                0.27449,                0.81436,                0.85074,                0.80672,                0.84109,                0.65898,                0.80778,                0.52226,                0.90891,              0.0001487,              0.0001487,              0.0001487
                     94,                0.46709,                0.27347,                0.81139,                0.83074,                0.80372,                0.83385,                0.65653,                0.79271,                0.54768,                0.90592,             0.00013219,             0.00013219,             0.00013219
                     95,                 0.4714,                0.27301,                0.81895,                0.81634,                0.79467,                0.83207,                0.66045,                0.78739,                0.54544,                0.90036,             0.00011569,             0.00011569,             0.00011569
                     96,                0.46168,                 0.2689,                0.81143,                0.87554,                0.75807,                0.82281,                0.64675,                0.80374,                0.55912,                0.90379,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.45923,                0.26567,                0.81175,                0.85866,                0.77318,                0.83024,                0.65578,                 0.7983,                0.54986,                0.90121,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.45712,                0.26418,                0.81365,                 0.8437,                0.77635,                0.82988,                0.65957,                0.78769,                0.55187,                0.89983,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 0.4506,                 0.2614,                0.81375,                0.84381,                 0.7772,                0.83202,                0.66125,                0.79323,                0.55462,                0.90063,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.44587,                0.26172,                0.81002,                0.86276,                0.76574,                0.82658,                0.65625,                0.78815,                0.55114,                0.90024,             3.3173e-05,             3.3173e-05,             3.3173e-05
