                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.88417,                0.50641,                0.85775,                0.71727,                0.67318,                0.67485,                0.38058,                 1.4491,                0.96125,                0.99966,             0.00082533,             0.00082533,             0.00082533
                     53,                0.85899,                0.49443,                0.85026,                0.73905,                0.64015,                0.66428,                0.37025,                 1.4437,                0.96481,                 1.0024,             0.00080883,             0.00080883,             0.00080883
                     54,                0.85874,                0.49279,                0.85069,                0.70853,                0.60586,                0.64972,                0.36496,                 1.4566,                0.98602,                 1.0048,             0.00079233,             0.00079233,             0.00079233
                     55,                0.84058,                0.48677,                0.84869,                0.71763,                0.66578,                0.68857,                0.37916,                 1.5024,                0.95298,                 1.0192,             0.00077582,             0.00077582,             0.00077582
                     56,                0.85889,                0.49351,                0.84982,                0.76731,                0.59427,                 0.6622,                0.38529,                 1.4098,                 1.0355,                0.98604,             0.00075932,             0.00075932,             0.00075932
                     57,                0.87482,                0.49965,                0.85313,                0.77233,                0.62474,                0.67879,                0.38209,                 1.4502,                 1.0163,                 1.0051,             0.00074282,             0.00074282,             0.00074282
                     58,                 0.8546,                0.48755,                0.85203,                0.76509,                0.64656,                0.69088,                0.40165,                 1.3914,                0.96511,                0.98704,             0.00072631,             0.00072631,             0.00072631
                     59,                 0.8511,                0.48683,                0.84762,                 0.6891,                0.66271,                0.66313,                0.37655,                  1.436,                 1.0053,                0.99388,             0.00070981,             0.00070981,             0.00070981
                     60,                0.85405,                0.48247,                0.85219,                0.73939,                0.59324,                0.66537,                0.38704,                 1.4227,                 1.1154,                0.99908,             0.00069331,             0.00069331,             0.00069331
                     61,                0.84445,                0.48018,                0.85268,                 0.7839,                0.57057,                0.68908,                0.38863,                  1.437,                 1.0363,                 1.0029,              0.0006768,              0.0006768,              0.0006768
                     62,                0.84108,                0.46832,                0.84901,                0.75007,                0.61142,                0.68428,                0.39815,                 1.4308,                 1.0162,                0.99502,              0.0006603,              0.0006603,              0.0006603
                     63,                0.83708,                 0.4716,                0.84616,                0.68499,                0.65298,                0.68506,                0.38125,                 1.4523,                0.97183,                 1.0016,              0.0006438,              0.0006438,              0.0006438
                     64,                0.84658,                0.46902,                0.84747,                0.73303,                0.61455,                 0.6713,                0.37772,                 1.4692,                 1.0046,                0.99695,             0.00062729,             0.00062729,             0.00062729
                     65,                0.82199,                0.45996,                0.84828,                0.75122,                0.63954,                0.68426,                0.39255,                 1.4489,                0.97669,                 1.0062,             0.00061079,             0.00061079,             0.00061079
                     66,                 0.8265,                0.46144,                0.84815,                0.71582,                0.64656,                0.69582,                0.39261,                 1.4562,                0.96104,                 1.0108,             0.00059429,             0.00059429,             0.00059429
                     67,                0.82225,                0.45515,                0.84777,                 0.7228,                0.60583,                 0.6738,                0.38194,                 1.4679,                 1.0463,                 1.0014,             0.00057778,             0.00057778,             0.00057778
                     68,                0.82059,                0.45545,                0.84345,                0.74496,                0.63559,                0.68105,                0.39082,                 1.4374,                0.91453,                 0.9991,             0.00056128,             0.00056128,             0.00056128
                     69,                0.82065,                0.45366,                0.84497,                0.74303,                0.65571,                0.69466,                0.38932,                 1.4779,                0.93548,                 1.0176,             0.00054478,             0.00054478,             0.00054478
                     70,                0.80999,                0.44943,                0.84537,                0.74432,                0.62249,                0.68316,                0.39618,                 1.4367,                0.96496,                 1.0033,             0.00052827,             0.00052827,             0.00052827
                     71,                0.80779,                0.45282,                0.84042,                0.70767,                0.66983,                0.70252,                0.39414,                  1.469,                0.95535,                 1.0056,             0.00051177,             0.00051177,             0.00051177
                     72,                0.80038,                0.44949,                0.83977,                0.70527,                0.63366,                0.67027,                0.37337,                 1.5065,                   0.96,                 1.0173,             0.00049527,             0.00049527,             0.00049527
                     73,                0.80472,                0.44866,                0.84449,                0.70042,                0.64741,                0.68091,                0.38724,                 1.4544,                 0.9621,                 1.0052,             0.00047876,             0.00047876,             0.00047876
                     74,                0.80132,                0.45132,                0.83932,                0.71134,                0.61482,                0.65939,                0.37424,                 1.4854,                 1.0418,                 1.0072,             0.00046226,             0.00046226,             0.00046226
                     75,                0.80823,                0.44814,                0.84091,                0.70837,                0.66558,                 0.6938,                0.39848,                 1.4319,                0.94285,                      1,             0.00044576,             0.00044576,             0.00044576
                     76,                0.79838,                0.44021,                0.84042,                0.69779,                 0.6403,                0.68102,                0.39133,                 1.4497,                0.96976,                 1.0063,             0.00042925,             0.00042925,             0.00042925
