                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.70699,                0.37444,                0.86112,                0.99207,                 0.9925,                0.99409,                0.80153,                0.84916,                0.36984,                0.90913,               0.000317,               0.000317,               0.000317
                     87,                0.69239,                0.37319,                0.85698,                 0.9923,                 0.9925,                0.99395,                0.79784,                0.86191,                0.37387,                0.91303,              0.0002972,              0.0002972,              0.0002972
                     88,                0.69013,                 0.3686,                 0.8543,                 0.9923,                 0.9925,                0.99428,                0.80019,                0.86258,                0.36623,                0.91349,              0.0002774,              0.0002774,              0.0002774
                     89,                0.69181,                0.36595,                0.85347,                0.99146,                 0.9925,                0.99414,                0.80117,                0.85431,                0.36538,                0.91031,              0.0002576,              0.0002576,              0.0002576
                     90,                0.68601,                0.36478,                0.85463,                0.99235,                 0.9925,                0.99379,                0.79264,                0.87188,                0.37681,                0.91819,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.6413,                0.34595,                0.84647,                0.99238,                 0.9925,                 0.9941,                0.78566,                0.88459,                0.37049,                0.92314,               0.000218,               0.000218,               0.000218
                     92,                0.61993,                 0.3361,                0.84372,                0.99211,                 0.9925,                0.99411,                0.78877,                 0.8718,                  0.366,                0.91748,              0.0001982,              0.0001982,              0.0001982
                     93,                0.61476,                0.33431,                0.84064,                0.99228,                 0.9925,                0.99419,                0.78418,                0.87646,                0.36951,                 0.9186,              0.0001784,              0.0001784,              0.0001784
                     94,                0.61762,                0.33146,                0.84329,                0.99226,                 0.9925,                 0.9941,                0.78878,                 0.8823,                0.36848,                0.92669,              0.0001586,              0.0001586,              0.0001586
                     95,                0.61455,                0.33304,                0.83944,                0.99228,                 0.9925,                0.99393,                0.78581,                0.88671,                0.37234,                0.92446,              0.0001388,              0.0001388,              0.0001388
                     96,                0.60336,                0.32792,                0.83633,                0.99232,                 0.9925,                 0.9943,                0.79982,                0.86338,                0.35801,                 0.9151,               0.000119,               0.000119,               0.000119
                     97,                0.60551,                0.32624,                 0.8338,                0.99227,                 0.9925,                0.99404,                0.79243,                0.86787,                0.36447,                0.91537,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.59411,                0.32233,                 0.8344,                 0.9923,                 0.9925,                0.99399,                0.79755,                0.85878,                0.36212,                0.91386,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.59557,                0.32434,                0.84031,                0.99229,                 0.9925,                0.99417,                0.79866,                0.86156,                0.35845,                 0.9158,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.59368,                0.32056,                0.83492,                0.99231,                 0.9925,                 0.9942,                0.79938,                 0.8609,                0.35953,                0.91449,               3.98e-05,               3.98e-05,               3.98e-05
