                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.76929,                 0.4575,                0.87179,                0.71342,                0.75862,                0.81294,                0.62859,                0.88868,                0.79483,                0.92322,             0.00089134,             0.00089134,             0.00089134
                     49,                0.78427,                0.45555,                 0.8725,                0.86051,                0.77187,                0.84499,                0.66703,                0.81785,                0.62596,                0.89838,             0.00087484,             0.00087484,             0.00087484
                     50,                 0.7701,                0.45234,                 0.8706,                0.90067,                 0.7731,                0.85295,                 0.6839,                0.83944,                0.54188,                0.89133,             0.00085834,             0.00085834,             0.00085834
                     51,                0.76258,                 0.4459,                0.86883,                 0.8375,                0.77314,                0.83004,                0.63137,                0.97007,                0.60354,                0.92479,             0.00084184,             0.00084184,             0.00084184
                     52,                0.75725,                0.45055,                0.86725,                0.80691,                0.78408,                0.83292,                0.61902,                  0.915,                0.58704,                0.91782,             0.00082533,             0.00082533,             0.00082533
                     53,                0.75659,                0.44637,                0.86694,                0.85643,                0.82076,                0.86111,                0.66715,                0.88165,                0.54757,                0.91187,             0.00080883,             0.00080883,             0.00080883
                     54,                0.75767,                0.44447,                0.86602,                0.90895,                0.77805,                0.85457,                0.67524,                0.82555,                 0.5324,                0.89842,             0.00079233,             0.00079233,             0.00079233
                     55,                0.74961,                0.43999,                0.86587,                0.76294,                0.81318,                0.84311,                0.60806,                0.97661,                0.60772,                0.92857,             0.00077582,             0.00077582,             0.00077582
                     56,                0.74309,                0.43516,                0.86339,                 0.7855,                0.75045,                0.81217,                0.56619,                 1.0082,                0.70251,                0.97221,             0.00075932,             0.00075932,             0.00075932
                     57,                 0.7476,                0.43648,                0.86379,                0.81889,                 0.7562,                0.81206,                0.56164,                  1.101,                0.62769,                0.95673,             0.00074282,             0.00074282,             0.00074282
                     58,                 0.7226,                 0.4297,                0.85732,                0.81193,                0.78888,                0.82221,                0.60854,                0.90673,                0.66919,                0.91712,             0.00072631,             0.00072631,             0.00072631
                     59,                0.73969,                 0.4284,                0.86221,                0.83679,                0.77305,                0.81153,                0.61387,                0.88303,                0.62984,                0.91678,             0.00070981,             0.00070981,             0.00070981
